 Crash Date (Year) ,Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,562313,478140,492523,473423,498532,502950,491205,485105,495474,540670,559745,600948,6181027
2005,528551,484600,511463,485791,502715,498598,486556,497626,484368,529343,550515,599223,6159350
2006,506512,461160,478829,466287,503526,475714,455371,477216,491620,562052,553511,541415,5973213
2007,523677,498341,503323,470482,482561,487096,462500,485563,460222,542152,531461,576630,6024008
2008,511016,541083,480111,452247,478929,453907,429802,441756,436696,499033,509726,576539,5810846
2009,539283,428785,439658,418007,469738,437491,423122,438443,431257,488065,466166,525165,5505180
2010,465706,450178,430290,423144,450335,424436,405117,441417,435235,489129,470260,534197,5419445
2011,479721,444248,420099,405836,427532,413262,406030,433504,439786,483218,483290,501303,5337829
2012,471595,439843,441412,418128,475452,451687,436321,456387,465542,517855,509863,530958,5615045
2013,458896,442492,457269,440555,470346,444928,445664,463513,457554,527308,541492,536876,5686891
2014,582181,489414,495474,451159,483701,460190,460822,474566,491413,561177,566221,547965,6064284
2015,562410,515896,513181,481358,507920,487055,498389,493595,509182,584907,569155,573086,6296134
2016,652159,610890,601736,556981,577952,559219,529754,602839,544390,552667,510847,521693,6821129
2017,528223,466824,557284,521704,570820,522379,487688,536768,522197,592975,570486,575251,6452598
2018,583862,516714,557912,520511,581458,533748,518778,556961,552484,612666,621612,577710,6734416
Total,7956105,7268607,7380566,6985612,7481518,7152660,6937120,7285260,7217420,8083219,8014351,8318958,90081395
