National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,
Motor Vehicle Crashes,,,,,,,,,,,,,
State: Colorado ,,,,,,,,,,,,,
Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,49,48,55,38,55,49,69,55,50,51,44,33,596
2005,38,30,45,43,51,64,63,46,51,37,35,51,554
2006,31,27,31,34,53,55,50,48,39,45,42,30,485
2007,17,43,44,43,38,57,58,43,53,48,32,32,508
2008,30,31,31,34,47,43,50,54,41,41,37,34,473
2009,38,25,35,25,45,35,44,40,41,46,33,30,437
2010,15,19,25,33,33,46,37,41,42,49,32,39,411
2011,25,18,26,24,41,46,47,38,36,42,30,34,407
2012,25,23,33,38,34,36,44,45,40,46,38,32,434
2013,29,19,32,26,37,52,42,61,44,31,28,31,432
2014,27,22,35,29,34,49,55,60,32,45,32,31,451
2015,42,32,35,47,39,43,48,45,71,45,32,28,507
2016,29,26,39,39,46,63,67,57,72,55,37,28,558
2017,40,30,41,48,51,68,61,62,52,47,53,47,600
2018,44,28,38,46,51,64,56,61,58,53,40,49,588
Total,479,421,545,547,655,770,791,756,722,681,545,529,7441
