0,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
January,119,113,112,115,94,81,80,69,81,81,71,77,69,90,92
February,85,112,112,95,95,76,60,61,88,78,59,68,74,66,75
March,91,98,102,92,104,69,68,94,107,75,85,67,73,71,83
April,106,126,107,97,111,90,100,83,86,76,69,74,84,90,71
May,125,122,116,135,98,111,113,116,101,102,100,111,104,83,87
June,105,142,117,136,134,105,95,92,120,96,98,89,111,111,89
July,134,129,108,135,129,113,134,128,105,97,111,112,90,116,105
August,138,132,139,115,134,118,126,89,111,115,122,107,99,98,99
September,112,153,125,129,112,105,116,119,110,105,88,103,105,95,111
October,133,154,138,134,117,93,110,128,111,102,96,101,106,112,116
November,106,109,116,103,121,93,102,103,105,94,104,106,98,68,91
December,108,107,117,107,109,89,104,109,86,98,104,87,75,83,84
Total,1362,1497,1409,1393,1358,1143,1208,1191,1211,1119,1107,1102,1088,1083,1103
,,,,,,,,,,,,,,,
,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,,
Total,1422.666667,1433,1386.666667,1298,1236.333333,1180.666667,1203.333333,1173.666667,1145.666667,1109.333333,1099,1091,1091.333333,,
