Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,156169,143392,151413,141965,149565,152921,146640,151172,145030,158752,156386,162685,1816091
2005,123789,113581,131267,124832,132815,124896,131934,129236,132728,136362,131698,144114,1557253
2006,121922,117022,110702,121574,131674,120541,117180,124177,125581,135125,123763,130417,1479678
2007,131542,122772,128188,115077,129705,122286,109677,124848,113319,135338,125631,130616,1488997
2008,105945,118954,112554,107287,111502,105990,92784,91422,104761,113111,115378,123793,1303482
2009,119171,99732,97432,96580,113215,107140,89961,98342,94824,110921,100631,104776,1232725
2010,107977,101832,97186,96992,104177,89777,90892,95869,106335,104953,98880,115576,1210448
2011,101283,89946,87741,90557,93816,88830,89835,92579,99295,101654,98734,106237,1140507
2012,93531,90766,94928,88980,101667,97531,99450,90083,102203,103923,100975,103224,1167260
2013,94953,98101,90542,102124,99395,90323,97066,94879,93512,108978,106541,109093,1185506
2014,114327,91594,91753,98527,102725,99940,91697,95541,101469,118778,111495,105785,1223631
2015,112043,99370,103016,100151,106728,104982,108149,105999,113059,128924,113269,113402,1309092
2016,134443,119737,117051,107748,134302,116980,110035,135469,109620,117372,102990,103211,1408959
2017,104565,91761,116960,114577,121469,113383,100016,107769,108831,122246,114765,111289,1327631
2018,115658,91639,109872,100960,112756,99580,108675,118576,111622,110617,121802,117423,1319180
Total,1737318,1590198,1640605,1607931,1745511,1635099,1583993,1655961,1662190,1807054,1722939,1781640,20170439
