0,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,0,2018,Total
January,265,247,249,210,227,238,206,199,221,231,261,247,264,267,0,296,3628
February,251,223,246,248,269,233,191,193,211,201,213,215,282,235,0,259,3470
March,263,275,267,253,233,221,213,236,257,251,265,262,280,282,0,279,3837
April,265,264,255,280,253,243,228,265,246,274,269,235,263,249,0,259,3848
May,288,251,265,250,253,266,256,228,259,263,251,284,297,286,0,293,3990
June,279,258,265,247,265,237,222,253,261,304,258,264,274,247,0,277,3911
July,255,261,278,264,256,241,226,228,253,257,258,314,287,313,0,292,3983
August,300,261,271,255,272,239,248,232,275,267,270,239,278,282,0,256,3945
September,267,240,260,293,237,225,251,254,257,257,255,256,266,272,0,231,3821
October,295,281,273,270,296,218,241,271,264,233,322,319,342,314,0,297,4236
November,255,278,259,260,275,235,235,212,273,262,278,265,320,314,0,304,4025
December,283,294,234,270,280,208,229,219,256,247,290,290,274,291,0,262,3927
Total,3266,3133,3122,3100,3116,2804,2746,2790,3033,3047,3190,3190,3427,3352,0,3305,46621
,,,,,,,,,,,,,,,,,
,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,,,,
Total,3173.666667,3118.333333,3112.666667,3006.666667,2888.666667,2780,2856.333333,2956.666667,3090,3142.333333,3269,3323,2259.666667,,,,
